protocol,medium,cc,bandwidth,rtt
QUIC,cellular,BBR,100mbps,63.10705
QUIC,cellular,BBR,100mbps,61.424328
QUIC,cellular,BBR,100mbps,65.44774
QUIC,cellular,BBR,100mbps,69.24681
QUIC,cellular,BBR,100mbps,66.432304
QUIC,cellular,BBR,100mbps,69.28374
QUIC,cellular,BBR,100mbps,71.55869
QUIC,cellular,BBR,100mbps,67.6287
QUIC,cellular,BBR,100mbps,65.19583
QUIC,cellular,BBR,100mbps,68.15625
QUIC,cellular,BBR,100mbps,65.865456
QUIC,cellular,BBR,100mbps,64.763466
QUIC,cellular,BBR,100mbps,70.10014
QUIC,cellular,BBR,100mbps,70.12923
QUIC,cellular,BBR,100mbps,67.49799
QUIC,cellular,BBR,100mbps,70.35551
QUIC,cellular,BBR,100mbps,73.52643
QUIC,cellular,BBR,100mbps,75.84698
QUIC,cellular,BBR,100mbps,78.79563
QUIC,cellular,BBR,100mbps,75.511505
QUIC,cellular,BBR,100mbps,77.84922
QUIC,cellular,BBR,100mbps,79.357605
QUIC,cellular,BBR,100mbps,76.63425
QUIC,cellular,BBR,100mbps,73.62528
QUIC,cellular,BBR,100mbps,74.586464
QUIC,cellular,BBR,100mbps,75.99234
QUIC,cellular,BBR,100mbps,71.95968
QUIC,cellular,BBR,100mbps,74.36007
QUIC,cellular,BBR,100mbps,77.73905
QUIC,cellular,BBR,100mbps,79.20745
QUIC,cellular,BBR,100mbps,81.895424
QUIC,cellular,BBR,100mbps,77.09136
QUIC,cellular,BBR,100mbps,72.88551
QUIC,cellular,BBR,100mbps,69.097374
QUIC,cellular,BBR,100mbps,66.236145
QUIC,cellular,BBR,100mbps,69.48646
QUIC,cellular,BBR,100mbps,66.584114
QUIC,cellular,BBR,100mbps,63.519142
QUIC,cellular,BBR,100mbps,66.618416
QUIC,cellular,BBR,100mbps,70.463104
QUIC,cellular,BBR,100mbps,67.237206
QUIC,cellular,BBR,100mbps,64.23473
QUIC,cellular,BBR,100mbps,62.11762
QUIC,cellular,BBR,100mbps,60.137417
QUIC,cellular,BBR,100mbps,64.01542
QUIC,cellular,BBR,100mbps,61.896706
QUIC,cellular,BBR,100mbps,64.84206
QUIC,cellular,BBR,100mbps,62.528984
QUIC,cellular,BBR,100mbps,66.12072
QUIC,cellular,BBR,100mbps,69.14689
QUIC,cellular,BBR,100mbps,71.43522
QUIC,cellular,BBR,100mbps,73.856255
QUIC,cellular,BBR,100mbps,70.75778
QUIC,cellular,BBR,100mbps,67.43183
QUIC,cellular,BBR,100mbps,64.5041
QUIC,cellular,BBR,100mbps,62.095238
QUIC,cellular,BBR,100mbps,60.059616
QUIC,cellular,BBR,100mbps,58.873806
QUIC,cellular,BBR,100mbps,61.87015
QUIC,cellular,BBR,100mbps,62.911755
QUIC,cellular,BBR,100mbps,66.81766
QUIC,cellular,BBR,100mbps,68.45507
QUIC,cellular,BBR,100mbps,69.21506
QUIC,cellular,BBR,100mbps,65.91569
QUIC,cellular,BBR,100mbps,67.65204
QUIC,cellular,BBR,100mbps,68.07889
QUIC,cellular,BBR,100mbps,64.64538
QUIC,cellular,BBR,100mbps,61.451878
QUIC,cellular,BBR,100mbps,58.748165
QUIC,cellular,BBR,100mbps,57.361603
QUIC,cellular,BBR,100mbps,57.029552
QUIC,cellular,BBR,100mbps,64.17984
QUIC,cellular,BBR,100mbps,63.808903
QUIC,cellular,BBR,100mbps,70.52209
QUIC,cellular,BBR,100mbps,71.46606
QUIC,cellular,BBR,100mbps,77.05508
QUIC,cellular,BBR,100mbps,79.46675
QUIC,cellular,BBR,100mbps,85.39025
QUIC,cellular,BBR,100mbps,87.183395
QUIC,cellular,BBR,100mbps,88.59224
QUIC,cellular,BBR,100mbps,92.72913
QUIC,cellular,BBR,100mbps,92.963104
QUIC,cellular,BBR,100mbps,93.29379
QUIC,cellular,BBR,100mbps,99.6037
QUIC,cellular,BBR,100mbps,97.95458
QUIC,cellular,BBR,100mbps,97.397606
QUIC,cellular,BBR,100mbps,100.30047
QUIC,cellular,BBR,100mbps,103.162605
QUIC,cellular,BBR,100mbps,105.794334
QUIC,cellular,BBR,100mbps,106.18485
QUIC,cellular,BBR,100mbps,103.56929
QUIC,cellular,BBR,100mbps,108.76476
QUIC,cellular,BBR,100mbps,106.31624
QUIC,cellular,BBR,100mbps,109.29913
QUIC,cellular,BBR,100mbps,111.8523
QUIC,cellular,BBR,100mbps,109.57638
QUIC,cellular,BBR,100mbps,108.161125
QUIC,cellular,BBR,100mbps,114.24928
QUIC,cellular,BBR,100mbps,111.293526
QUIC,cellular,BBR,100mbps,108.850586
